,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0.0,0.0,0.0
1,1,XGBoost,0.566202808853552,0.5244892986476122,0.8826454193889826,0.6579868594469794
2,1,Random Forest,0.5773929686895781,0.5324272571607431,0.8761785199556821,0.6623589562697153
3,5,Logistic,0.5,0.0,0.0,0.0
4,5,XGBoost,0.6245667622834443,0.5820116835689787,0.7628425661280477,0.6602697449337535
5,5,Random Forest,0.6185073092045448,0.5762805513708719,0.7631760867719649,0.6566894717664054
6,10,Logistic,0.5,0.0,0.0,0.0
7,10,XGBoost,0.6419234708831727,0.5991044151362914,0.7617748573012868,0.6707173657389259
8,10,Random Forest,0.6375460393368746,0.5934532552177888,0.7690360235198644,0.669931042628754
9,20,Logistic,0.5,0.0,0.0,0.0
10,20,XGBoost,0.6580305884218081,0.6207848008644381,0.7395915165018292,0.6750002428467748
11,20,Random Forest,0.653652210144117,0.6127771168315005,0.7539144899227289,0.6760582199952279
12,30,Logistic,0.5,0.48231520770788794,1.0,0.6507593057129792
13,30,XGBoost,0.6435449520338204,0.5815362261842335,0.8710767468499426,0.6974503098672747
14,30,Random Forest,0.6481549960342399,0.5873529224324061,0.8577595729013254,0.6972572633822776
15,40,Logistic,0.5,0.4825685642405543,1.0,0.6509898778108114
16,40,XGBoost,0.6527596571707415,0.594215030300224,0.8413760250782415,0.6965190795284596
17,40,Random Forest,0.6587067273167841,0.599900321795203,0.8397338510159862,0.6998397467366648
18,50,Logistic,0.5,0.48269404917834635,1.0,0.651104048668486
19,50,XGBoost,0.6585232081578937,0.6033720448166157,0.8200256164996531,0.6952105465339314
20,50,Random Forest,0.6636958461373774,0.6072553252517323,0.8256641200691316,0.6998145435439929
